City_ID,City,Country,Max Temp,Discription,Lat,Lng,Hotel Name
13,Atuona,PF,78.75,light rain,-9.8,-139.03,Villa Enata
15,Luderitz,,70.29,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
19,Albany,US,71.01,overcast clouds,42.6,-73.97,
20,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
22,Avera,US,73.4,clear sky,33.19,-82.53,
23,Bambous Virieux,MU,73.4,few clouds,-20.34,57.76,Casa Tia Villa
27,Fare,PF,77.45,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
32,Saint-Pierre,RE,71.6,clear sky,-21.34,55.48,Lindsey Hôtel
54,Souillac,MU,73.4,few clouds,-20.52,57.52,Bils' Villa
57,Carbonia,IT,77.0,scattered clouds,39.17,8.52,Lu 'Hotel
58,Salvador,SV,75.2,thunderstorm with light rain,13.83,-88.92,Chico's Ranch
59,Bethel,US,70.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
60,Airai,TL,78.21,clear sky,-8.93,125.41,Juvinal Martin
62,Joshimath,IN,73.65,light rain,30.57,79.57,Shivalik Camps & Resort
67,Quelimane,MZ,71.6,broken clouds,-17.88,36.89,Hotel Flamingo
71,San Patricio,MX,79.3,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
72,Gat,IL,75.99,scattered clouds,31.61,34.76,רגע בנחת
77,San Ignacio,BZ,79.0,clear sky,17.16,-89.07,Rainforest Haven Inn
81,Petatlan,MX,77.45,overcast clouds,17.52,-101.27,Hotel California Petatlán
84,Teseney,ER,75.13,light rain,15.11,36.66,Sabrin Hotel
85,Requena,ES,75.2,clear sky,39.49,-1.1,Hotel Avenida
86,Cabedelo,BR,71.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
87,Tiarei,PF,77.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
88,Mitsamiouli,KM,73.4,few clouds,-11.38,43.28,Foyer ADM
93,Susanville,US,75.2,haze,40.42,-120.65,Red Lion Inn & Suites Susanville
101,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
104,Coahuayana,MX,78.96,light rain,18.73,-103.68,Hotel Los Arcos
111,Itaueira,BR,76.3,clear sky,-7.6,-43.03,Hotel Pousada Luz
120,Adiake,CI,75.2,broken clouds,5.29,-3.3,Hotel Lagune
122,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
123,Boromo,BF,74.23,overcast clouds,11.75,-2.93,Sama Camp
128,Heihe,CN,73.4,scattered clouds,50.24,127.49,Hotel Druzhba
131,Vao,NC,72.0,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
133,Sao Gabriel Da Cachoeira,BR,76.32,clear sky,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
137,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
143,Yaan,NG,70.16,overcast clouds,7.38,8.57,
144,Mogadishu,SO,77.0,scattered clouds,2.04,45.34,Hotel Juba
148,Sao Jose Da Coroa Grande,BR,73.44,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
150,Silivri,TR,71.6,clear sky,41.08,28.23,Çeşmeli Koşk Hotel Silivri
152,Koraput,IN,77.2,broken clouds,18.82,82.72,Raj Residency
168,Mathbaria,BD,79.84,moderate rain,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
172,Beyneu,KZ,73.35,overcast clouds,45.32,55.2,NUR
177,Baruun-Urt,MN,70.63,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
178,Jacksonville,US,75.99,clear sky,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
192,Lentate Sul Seveso,IT,72.0,clear sky,45.68,9.12,Blu9 Hotel
194,Faya,SA,73.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
195,Sao Filipe,CV,77.05,broken clouds,14.9,-24.5,Tortuga B&B
