City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Discription
0,Punta Arenas,CL,-53.15,-70.92,42.8,81,100,19.46,overcast clouds
1,Hithadhoo,MV,-0.6,73.08,83.53,73,16,9.64,light rain
2,Clyde River,CA,70.47,-68.59,44.67,88,98,4.79,overcast clouds
3,Kaeo,NZ,-35.1,173.78,62.01,3,93,5.99,overcast clouds
4,Qaanaaq,GL,77.48,-69.36,35.47,84,100,0.65,overcast clouds
5,Namibe,AO,-15.2,12.15,62.87,71,51,2.42,broken clouds
6,Matagami,CA,49.75,-77.63,46.4,87,75,4.65,broken clouds
7,Chokurdakh,RU,70.63,147.92,39.13,73,100,8.19,overcast clouds
8,Batticaloa,LK,7.71,81.69,84.94,67,54,4.54,broken clouds
9,Hobart,AU,-42.88,147.33,52.0,76,75,12.75,light intensity shower rain
10,Moyale,KE,3.52,39.06,63.63,85,100,12.19,overcast clouds
11,Puerto Ayora,EC,-0.74,-90.35,64.99,95,67,7.0,broken clouds
12,Jamestown,US,42.1,-79.24,64.4,82,1,1.43,clear sky
13,Atuona,PF,-9.8,-139.03,78.75,76,9,13.09,light rain
14,Kieta,PG,-6.22,155.63,83.88,74,84,4.0,light rain
15,Luderitz,NA,-26.65,15.16,70.29,20,0,24.27,clear sky
16,Gizo,SB,-8.1,156.84,84.45,73,100,8.9,light rain
17,Mataura,NZ,-46.19,168.86,54.0,70,12,7.0,light rain
18,Rikitea,PF,-23.12,-134.97,65.66,71,51,21.25,broken clouds
19,Albany,US,42.6,-73.97,71.01,88,87,3.29,overcast clouds
20,Avarua,CK,-21.21,-159.78,75.2,83,10,16.11,clear sky
21,Busselton,AU,-33.65,115.33,68.0,47,94,10.29,overcast clouds
22,Avera,US,33.19,-82.53,73.4,78,1,4.7,clear sky
23,Bambous Virieux,MU,-20.34,57.76,73.4,64,20,8.05,few clouds
24,Saldanha,ZA,-33.01,17.94,42.8,87,0,5.82,clear sky
25,Atar,MR,20.52,-13.05,90.03,42,61,5.88,broken clouds
26,Kurilsk,RU,45.23,147.88,61.09,73,52,8.7,broken clouds
27,Fare,PF,-16.7,-151.02,77.45,79,0,23.76,light rain
