City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kodiak,57.79,-152.41,75.2,38,1,12.75,US,2020-08-21 01:10:38
1,Port Alfred,-33.59,26.89,58.39,78,100,10.65,ZA,2020-08-21 01:15:35
2,Ulcinj,41.93,19.22,71.6,53,0,9.17,ME,2020-08-21 01:15:35
3,Ahipara,-35.17,173.17,60.42,74,0,15.73,NZ,2020-08-21 01:15:35
4,Bredasdorp,-34.53,20.04,46.4,93,48,4.7,ZA,2020-08-21 01:14:24
5,Hilo,19.73,-155.09,82.4,65,90,8.05,US,2020-08-21 01:13:56
6,Hermanus,-34.42,19.23,46.99,95,4,1.01,ZA,2020-08-21 01:14:01
7,Barrow,71.29,-156.79,46.4,87,90,8.05,US,2020-08-21 01:14:01
8,Kaitangata,-46.28,169.85,50.0,90,100,1.99,NZ,2020-08-21 01:14:34
9,Sigli,5.38,95.96,80.37,79,100,4.47,ID,2020-08-21 01:15:36
10,Bilma,18.69,12.92,91.99,18,0,7.31,NE,2020-08-21 01:15:37
11,Cidreira,-30.18,-50.21,46.69,62,0,14.16,BR,2020-08-21 01:15:37
12,Laguna,38.42,-121.42,91.4,30,90,11.63,US,2020-08-21 01:15:37
13,Bengkulu,-3.8,102.27,79.83,74,75,3.47,ID,2020-08-21 01:12:36
14,Lebu,-37.62,-73.65,49.93,85,0,18.07,CL,2020-08-21 01:15:38
15,Broken Hill,-31.95,141.43,53.6,66,22,19.46,AU,2020-08-21 01:12:05
16,Conde,-7.26,-34.91,75.2,94,75,9.17,BR,2020-08-21 01:15:38
17,Fort Nelson,58.81,-122.7,60.8,77,90,5.64,CA,2020-08-21 01:15:39
18,Rikitea,-23.12,-134.97,66.76,80,100,26.35,PF,2020-08-21 01:14:01
19,Cape Town,-33.93,18.42,57.0,100,0,6.93,ZA,2020-08-21 01:14:23
20,Ushuaia,-54.8,-68.3,42.8,75,40,13.87,AR,2020-08-21 01:09:53
21,Katsuura,35.13,140.3,93.0,70,20,10.29,JP,2020-08-21 01:15:39
22,Cherskiy,68.75,161.3,45.36,58,100,13.94,RU,2020-08-21 01:14:26
23,Kapaa,22.08,-159.32,84.2,66,75,16.11,US,2020-08-21 01:12:26
24,Saint George,37.1,-113.58,106.0,10,1,12.75,US,2020-08-21 01:13:53
25,Asfi,32.3,-9.24,70.0,71,0,11.43,MA,2020-08-21 01:14:18
26,Mangrol,21.12,70.12,80.78,87,100,8.84,IN,2020-08-21 01:15:40
27,Hithadhoo,-0.6,73.08,82.71,76,27,9.66,MV,2020-08-21 01:14:17
28,Mataura,-46.19,168.86,50.0,98,100,1.99,NZ,2020-08-21 01:14:06
29,Butaritari,3.07,172.79,83.03,73,77,12.77,KI,2020-08-21 01:14:20
30,Hirado,33.36,129.55,91.0,79,20,6.93,JP,2020-08-21 01:15:41
31,Avera,33.19,-82.53,77.0,61,1,5.82,US,2020-08-21 01:15:41
32,Puerto Ayora,-0.74,-90.35,66.0,88,65,10.0,EC,2020-08-21 01:14:21
33,Albany,42.6,-73.97,71.01,59,0,2.68,US,2020-08-21 01:14:12
34,Kencong,-8.28,113.37,76.26,69,0,1.97,ID,2020-08-21 01:15:42
35,Rio Gallegos,-51.62,-69.22,46.4,65,100,19.46,AR,2020-08-21 01:15:42
36,Pevek,69.7,170.31,37.58,86,100,10.76,RU,2020-08-21 01:14:03
37,Bonavista,48.65,-53.11,62.01,78,0,11.99,CA,2020-08-21 01:15:43
38,New Norfolk,-42.78,147.06,48.99,79,11,1.01,AU,2020-08-21 01:14:13
39,Severo-Kurilsk,50.68,156.12,56.16,67,50,21.56,RU,2020-08-21 01:14:17
40,Bluff,-46.6,168.33,50.0,98,99,1.99,NZ,2020-08-21 01:14:19
41,La Ronge,55.1,-105.28,77.0,36,75,3.36,CA,2020-08-21 01:15:43
42,Richards Bay,-28.78,32.04,57.78,88,4,5.37,ZA,2020-08-21 01:15:44
43,Phalodi,27.13,72.37,86.0,67,100,4.79,IN,2020-08-21 01:14:30
44,Tiksi,71.69,128.87,39.87,86,100,6.98,RU,2020-08-21 01:14:22
45,Teahupoo,-17.83,-149.27,82.4,69,75,5.82,PF,2020-08-21 01:15:44
46,Iqaluit,63.75,-68.51,46.4,87,75,2.68,CA,2020-08-21 01:14:26
47,Ambon,-3.7,128.18,82.4,78,40,1.12,ID,2020-08-21 01:15:45
48,Amapa,1.0,-52.0,74.71,75,2,2.8,BR,2020-08-21 01:15:45
49,Atuona,-9.8,-139.03,78.67,77,77,19.77,PF,2020-08-21 01:14:35
50,General Pico,-35.66,-63.76,43.38,52,0,6.51,AR,2020-08-21 01:13:04
51,Ilulissat,69.22,-51.1,42.8,70,23,3.58,GL,2020-08-21 01:14:28
52,Iskateley,67.68,53.15,46.81,97,24,9.08,RU,2020-08-21 01:14:52
53,Bowen,-20.02,148.23,82.0,20,0,8.05,AU,2020-08-21 01:15:47
54,Cairns,-16.92,145.77,82.99,44,0,3.36,AU,2020-08-21 01:11:08
55,East London,-33.02,27.91,60.55,71,100,11.45,ZA,2020-08-21 01:15:47
56,Busselton,-33.65,115.33,46.0,100,100,6.11,AU,2020-08-21 01:13:33
57,Malko Tarnovo,41.98,27.53,69.8,77,20,8.05,BG,2020-08-21 01:15:48
58,Bonnyville,54.27,-110.73,75.2,31,75,8.05,CA,2020-08-21 01:15:48
59,Mpika,-11.83,31.45,59.36,75,0,10.18,ZM,2020-08-21 01:15:48
60,Lavrentiya,65.58,-171.0,52.21,70,100,6.26,RU,2020-08-21 01:15:49
61,Alofi,-19.06,-169.92,84.2,74,75,9.17,NU,2020-08-21 01:14:17
62,Srednekolymsk,67.45,153.68,45.45,57,99,11.16,RU,2020-08-21 01:14:29
63,Ancud,-41.87,-73.82,48.0,93,90,6.93,CL,2020-08-21 01:15:09
64,Bethel,41.37,-73.41,66.2,68,1,5.82,US,2020-08-21 01:14:37
65,Zhigansk,66.77,123.37,45.81,58,0,17.83,RU,2020-08-21 01:15:06
66,Ninghai,29.29,121.42,88.0,74,40,8.95,CN,2020-08-21 01:15:50
67,Goderich,43.75,-81.72,75.99,72,0,20.11,CA,2020-08-21 01:11:03
68,Sitka,57.05,-135.33,69.8,49,40,17.22,US,2020-08-21 01:15:50
69,Avarua,-21.21,-159.78,78.8,78,0,19.46,CK,2020-08-21 01:14:58
70,Omboue,-1.57,9.26,72.43,85,100,7.74,GA,2020-08-21 01:15:51
71,Bolkhov,53.44,36.0,51.82,86,100,6.15,RU,2020-08-21 01:15:51
72,Port Hedland,-20.32,118.57,78.8,13,0,11.41,AU,2020-08-21 01:15:51
73,North Bend,43.41,-124.22,73.99,73,90,14.99,US,2020-08-21 01:14:27
74,Victoria,22.29,114.16,87.01,79,23,6.38,HK,2020-08-21 01:13:48
75,Qasigiannguit,68.82,-51.19,42.8,70,19,3.89,GL,2020-08-21 01:15:51
76,Sandwick,60.0,-1.25,59.0,93,0,16.11,GB,2020-08-21 01:15:52
77,Hobart,-42.88,147.33,48.99,61,75,10.29,AU,2020-08-21 01:12:13
78,Mahebourg,-20.41,57.7,64.4,82,20,6.93,MU,2020-08-21 01:14:35
79,Saint-Dizier,48.42,5.08,82.4,48,0,6.93,FR,2020-08-21 01:15:52
80,Sorland,67.67,12.69,51.03,74,50,11.41,NO,2020-08-21 01:14:07
81,Alta Floresta,-9.88,-56.09,81.01,30,29,2.55,BR,2020-08-21 01:12:28
82,Sao Filipe,14.9,-24.5,76.35,79,0,9.42,CV,2020-08-21 01:14:15
83,Vaini,-21.2,-175.2,80.6,83,75,8.05,TO,2020-08-21 01:15:53
84,Nioro,13.35,-15.75,75.65,94,100,5.66,GM,2020-08-21 01:15:53
85,Bianzhuang,34.85,118.04,68.86,92,100,11.25,CN,2020-08-21 01:15:53
86,Pisco,-13.7,-76.22,63.0,77,9,11.41,PE,2020-08-21 01:15:00
87,Pajapan,18.25,-94.7,86.0,74,75,5.68,MX,2020-08-21 01:15:54
88,Provideniya,64.38,-173.3,55.4,66,99,15.66,RU,2020-08-21 01:14:03
89,Puerto Escondido,15.85,-97.07,84.2,62,75,1.28,MX,2020-08-21 01:15:54
90,Tuatapere,-46.13,167.68,50.0,98,100,1.01,NZ,2020-08-21 01:15:55
91,Pacific Grove,36.62,-121.92,71.6,56,90,8.05,US,2020-08-21 01:13:39
92,Arinos,-15.92,-46.11,73.69,39,0,2.13,BR,2020-08-21 01:15:55
93,Te Anau,-45.42,167.72,51.98,74,100,3.22,NZ,2020-08-21 01:15:55
94,Punta Arenas,-53.15,-70.92,42.8,87,75,11.41,CL,2020-08-21 01:14:18
95,Ajdabiya,30.76,20.23,72.5,79,0,10.2,LY,2020-08-21 01:15:56
96,Jiwani,25.05,61.74,81.72,83,100,7.99,PK,2020-08-21 01:15:56
97,Tuktoyaktuk,69.45,-133.04,55.4,71,90,10.29,CA,2020-08-21 01:15:56
98,Esperance,-33.87,121.9,50.0,100,80,4.7,AU,2020-08-21 01:12:05
99,Veraval,20.9,70.37,81.16,86,100,11.95,IN,2020-08-21 01:15:57
100,Catalina Foothills,32.3,-110.92,106.0,33,0,8.99,US,2020-08-21 01:15:57
101,Vila Velha,-20.33,-40.29,73.4,83,75,10.29,BR,2020-08-21 01:14:07
102,Bolshaya Sosnova,57.67,54.6,53.46,89,100,10.42,RU,2020-08-21 01:15:58
103,Port Hardy,50.7,-127.42,62.6,88,75,3.36,CA,2020-08-21 01:15:58
104,Miri,4.41,114.01,82.4,78,20,5.82,MY,2020-08-21 01:14:13
105,Lovozero,68.0,35.01,51.82,94,100,2.13,RU,2020-08-21 01:15:59
106,Longyearbyen,78.22,15.64,41.0,86,75,5.82,SJ,2020-08-21 01:14:52
107,Asau,46.43,26.4,57.0,98,0,4.38,RO,2020-08-21 01:15:59
108,Broome,42.25,-75.83,66.2,52,1,4.7,US,2020-08-21 01:15:59
109,Beringovskiy,63.05,179.32,56.14,65,6,15.3,RU,2020-08-21 01:15:59
110,Port Blair,11.67,92.75,82.8,79,100,10.42,IN,2020-08-21 01:14:11
111,Doka,13.52,35.77,72.34,96,95,10.25,SD,2020-08-21 01:16:00
112,Gat,31.61,34.76,73.99,77,0,3.74,IL,2020-08-21 01:14:02
113,Georgetown,5.41,100.34,82.4,88,20,2.24,MY,2020-08-21 01:16:01
114,Marquette,46.53,-87.63,64.99,91,89,3.11,US,2020-08-21 01:16:01
115,Amberieu-En-Bugey,45.96,5.34,78.8,47,0,12.75,FR,2020-08-21 01:16:01
116,Dukat,62.55,155.55,42.57,93,100,10.22,RU,2020-08-21 01:16:01
117,Hasaki,35.73,140.83,93.0,70,40,3.36,JP,2020-08-21 01:14:45
118,Saint-Philippe,-21.36,55.77,68.0,49,21,10.29,RE,2020-08-21 01:14:00
119,Khatanga,71.97,102.5,50.31,53,0,16.08,RU,2020-08-21 01:16:02
120,Arraial Do Cabo,-22.97,-42.03,68.0,94,90,5.82,BR,2020-08-21 01:14:28
121,Nanortalik,60.14,-45.24,45.01,74,0,0.94,GL,2020-08-21 01:14:30
122,Duldurga,50.68,113.59,68.88,68,39,2.91,RU,2020-08-21 01:16:03
123,Dzhebariki-Khaya,62.22,135.8,56.19,46,0,5.46,RU,2020-08-21 01:16:03
124,Salalah,17.02,54.09,78.8,94,90,1.12,OM,2020-08-21 01:14:53
125,Urumqi,43.8,87.6,71.6,40,76,2.24,CN,2020-08-21 01:16:04
126,Geraldton,-28.77,114.6,57.2,71,100,10.29,AU,2020-08-21 01:16:04
127,Udachnyy,66.42,112.4,51.8,53,97,4.47,RU,2020-08-21 01:14:04
128,Kisanga,-7.44,37.7,70.36,81,54,2.28,TZ,2020-08-21 01:16:04
129,Carnarvon,-24.87,113.63,64.4,88,94,6.93,AU,2020-08-21 01:10:19
130,Castro,-24.79,-50.01,50.07,95,100,6.51,BR,2020-08-21 01:14:45
131,Saint-Francois,46.42,3.91,80.6,36,0,13.87,FR,2020-08-21 01:16:05
132,Jamestown,42.1,-79.24,71.6,49,1,5.82,US,2020-08-21 01:14:08
133,Presidencia Roque Saenz Pena,-26.79,-60.44,42.01,61,0,3.06,AR,2020-08-21 01:16:05
134,Carlyle,38.61,-89.37,75.0,66,0,4.94,US,2020-08-21 01:16:06
135,Aranos,-24.13,19.12,41.43,49,0,8.41,NA,2020-08-21 01:16:06
136,Patacamaya,-17.23,-67.92,43.43,82,55,9.1,BO,2020-08-21 01:16:06
137,Weston,26.1,-80.4,84.0,78,75,8.05,US,2020-08-21 01:15:40
138,Mount Gambier,-37.83,140.77,42.8,93,75,19.46,AU,2020-08-21 01:14:56
139,Comodoro Rivadavia,-45.87,-67.5,57.2,44,0,11.41,AR,2020-08-21 01:16:07
140,Saskylakh,71.92,114.08,43.54,62,100,6.4,RU,2020-08-21 01:14:49
141,Luderitz,-26.65,15.16,58.78,33,0,11.45,NA,2020-08-21 01:16:07
142,Monki,53.41,22.8,66.0,100,58,0.56,PL,2020-08-21 01:16:07
143,Lazaro Cardenas,17.96,-102.2,80.96,84,100,6.93,MX,2020-08-21 01:16:08
144,Atar,20.52,-13.05,89.29,44,6,11.34,MR,2020-08-21 01:14:51
145,Panubigan,7.43,123.35,81.72,80,100,4.94,PH,2020-08-21 01:16:08
146,Santa Cruz,-17.8,-63.17,48.2,76,90,24.16,BO,2020-08-21 01:15:04
147,Kavaratti,10.57,72.64,82.51,80,100,13.67,IN,2020-08-21 01:16:08
148,Florida,28.75,-82.5,75.2,94,90,16.11,US,2020-08-21 01:11:41
149,Caconda,-13.73,15.07,49.12,44,83,2.46,AO,2020-08-21 01:16:09
150,Novoagansk,61.94,76.66,52.2,96,100,6.49,RU,2020-08-21 01:16:09
151,Labuhan,-6.88,112.21,80.8,74,9,11.97,ID,2020-08-21 01:16:09
152,Qaanaaq,77.48,-69.36,42.93,77,100,3.0,GL,2020-08-21 01:15:00
153,Roma,43.21,-75.46,64.0,77,1,3.36,US,2020-08-21 01:16:10
154,Komsomolskiy,40.43,71.72,68.0,64,1,2.24,UZ,2020-08-21 01:16:10
155,Chapais,49.78,-74.85,53.6,93,90,6.4,CA,2020-08-21 01:16:10
156,Marzuq,14.4,46.47,80.2,54,65,5.01,YE,2020-08-21 01:14:58
157,Orlik,52.52,99.83,53.26,72,100,1.05,RU,2020-08-21 01:16:11
158,Derzhavinsk,51.1,66.32,54.82,74,91,11.5,KZ,2020-08-21 01:16:11
159,Senanga,-16.12,23.27,54.63,30,1,5.64,ZM,2020-08-21 01:16:11
160,Kunda,25.72,81.52,78.85,84,100,17.83,IN,2020-08-21 01:16:12
161,Qandala,11.47,49.87,88.29,55,81,9.04,SO,2020-08-21 01:16:12
162,Port Elizabeth,-33.92,25.57,53.6,87,20,5.82,ZA,2020-08-21 01:09:59
163,Tucumcari,35.17,-103.72,93.63,18,1,8.52,US,2020-08-21 01:16:12
164,Touros,-5.2,-35.46,75.2,94,20,5.82,BR,2020-08-21 01:16:13
165,Seoni,22.08,79.53,73.02,97,100,6.06,IN,2020-08-21 01:16:13
166,Ust-Nera,64.57,143.2,47.35,52,0,5.77,RU,2020-08-21 01:16:13
167,Cockburn Town,21.46,-71.14,83.05,79,0,18.92,TC,2020-08-21 01:14:27
168,Kamenka,51.32,42.77,54.0,73,27,5.01,RU,2020-08-21 01:16:14
169,San Borja,-14.82,-66.85,53.28,87,100,10.33,BO,2020-08-21 01:16:14
170,Conway,35.09,-92.44,82.4,58,75,3.36,US,2020-08-21 01:16:14
171,Huarmey,-10.07,-78.15,60.93,82,98,9.42,PE,2020-08-21 01:16:15
172,Isangel,-19.55,169.27,84.2,58,20,5.82,VU,2020-08-21 01:16:15
173,Faanui,-16.48,-151.75,77.83,79,8,21.47,PF,2020-08-21 01:15:02
174,Warmbad,-28.45,18.73,48.58,39,0,6.73,NA,2020-08-21 01:16:15
175,Codrington,-38.27,141.97,49.33,78,100,22.06,AU,2020-08-21 01:14:47
